Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,discriminant,Réglementaire,type d'évaluation,procédure de mesure,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité
2025/05/04 00:00:00,2025/05/04 01:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,O3,Fond,,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,67.3,67.25,µg-m3,,,,A,1
2025/05/04 01:00:00,2025/05/04 02:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,O3,Fond,,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,69.7,69.7,µg-m3,,,,A,1
2025/05/04 02:00:00,2025/05/04 03:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,O3,Fond,,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,68.5,68.5,µg-m3,,,,A,1
2025/05/04 03:00:00,2025/05/04 04:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,O3,Fond,,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,68.3,68.3,µg-m3,,,,A,1
2025/05/04 04:00:00,2025/05/04 05:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,O3,Fond,,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,70.9,70.85,µg-m3,,,,A,1
2025/05/04 05:00:00,2025/05/04 06:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,O3,Fond,,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,68.7,68.65,µg-m3,,,,A,1
2025/05/04 06:00:00,2025/05/04 07:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,O3,Fond,,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,71.6,71.625,µg-m3,,,,A,1
2025/05/04 07:00:00,2025/05/04 08:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,O3,Fond,,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,76.4,76.425,µg-m3,,,,A,1
2025/05/04 08:00:00,2025/05/04 09:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,O3,Fond,,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,79.4,79.35,µg-m3,,,,A,1
2025/05/04 09:00:00,2025/05/04 10:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,O3,Fond,,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,82.8,82.775,µg-m3,,,,A,1
2025/05/04 10:00:00,2025/05/04 11:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,O3,Fond,,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,84.8,84.8,µg-m3,,,,A,1
2025/05/04 11:00:00,2025/05/04 12:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,O3,Fond,,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,85.2,85.225,µg-m3,,,,A,1
2025/05/04 12:00:00,2025/05/04 13:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,O3,Fond,,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,85.3,85.325,µg-m3,,,,A,1
2025/05/04 13:00:00,2025/05/04 14:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,O3,Fond,,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,83.7,83.725,µg-m3,,,,A,1
2025/05/04 14:00:00,2025/05/04 15:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,O3,Fond,,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,85.5,85.475,µg-m3,,,,A,1
2025/05/04 15:00:00,2025/05/04 16:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,O3,Fond,,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,84.6,84.625,µg-m3,,,,A,1
2025/05/04 16:00:00,2025/05/04 17:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,O3,Fond,,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,83.6,83.6,µg-m3,,,,A,1
2025/05/04 00:00:00,2025/05/04 01:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,67.1,67.1,µg-m3,,,,A,1
2025/05/04 01:00:00,2025/05/04 02:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,70.6,70.575,µg-m3,,,,A,1
2025/05/04 02:00:00,2025/05/04 03:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,71.4,71.35,µg-m3,,,,A,1
2025/05/04 03:00:00,2025/05/04 04:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,67.1,67.1,µg-m3,,,,A,1
2025/05/04 04:00:00,2025/05/04 05:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,67.9,67.85,µg-m3,,,,A,1
2025/05/04 05:00:00,2025/05/04 06:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,69.1,69.1,µg-m3,,,,A,1
2025/05/04 06:00:00,2025/05/04 07:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,71.8,71.8,µg-m3,,,,A,1
2025/05/04 07:00:00,2025/05/04 08:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,74.9,74.875,µg-m3,,,,A,1
2025/05/04 08:00:00,2025/05/04 09:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,77.8,77.825,µg-m3,,,,A,1
2025/05/04 09:00:00,2025/05/04 10:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,81.8,81.825,µg-m3,,,,A,1
2025/05/04 10:00:00,2025/05/04 11:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,85.2,85.175,µg-m3,,,,A,1
2025/05/04 11:00:00,2025/05/04 12:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,85.6,85.6,µg-m3,,,,A,1
2025/05/04 12:00:00,2025/05/04 13:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,86.5,86.45,µg-m3,,,,A,1
2025/05/04 13:00:00,2025/05/04 14:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,85.1,85.075,µg-m3,,,,A,1
2025/05/04 14:00:00,2025/05/04 15:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,86.1,86.125,µg-m3,,,,A,1
2025/05/04 15:00:00,2025/05/04 16:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,85.6,85.55,µg-m3,,,,A,1
2025/05/04 16:00:00,2025/05/04 17:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,84.2,84.15,µg-m3,,,,A,1
2025/05/04 00:00:00,2025/05/04 01:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11114,Wattignies,Périurbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,53.1,53.1,µg-m3,,,,A,1
2025/05/04 01:00:00,2025/05/04 02:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11114,Wattignies,Périurbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,53.9,53.925,µg-m3,,,,A,1
2025/05/04 02:00:00,2025/05/04 03:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11114,Wattignies,Périurbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,50.7,50.725,µg-m3,,,,A,1
2025/05/04 03:00:00,2025/05/04 04:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11114,Wattignies,Périurbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,53.7,53.65,µg-m3,,,,A,1
2025/05/04 04:00:00,2025/05/04 05:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11114,Wattignies,Périurbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,51.3,51.3,µg-m3,,,,A,1
2025/05/04 05:00:00,2025/05/04 06:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11114,Wattignies,Périurbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,50.9,50.925,µg-m3,,,,A,1
2025/05/04 06:00:00,2025/05/04 07:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11114,Wattignies,Périurbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,56.3,56.275,µg-m3,,,,A,1
2025/05/04 07:00:00,2025/05/04 08:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11114,Wattignies,Périurbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,58.0,58.0,µg-m3,,,,A,1
2025/05/04 08:00:00,2025/05/04 09:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11114,Wattignies,Périurbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,62.7,62.675,µg-m3,,,,A,1
2025/05/04 09:00:00,2025/05/04 10:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11114,Wattignies,Périurbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,65.4,65.425,µg-m3,,,,A,1
2025/05/04 10:00:00,2025/05/04 11:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11114,Wattignies,Périurbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,66.7,66.725,µg-m3,,,,A,1
2025/05/04 11:00:00,2025/05/04 12:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11114,Wattignies,Périurbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,68.1,68.075,µg-m3,,,,A,1
2025/05/04 12:00:00,2025/05/04 13:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11114,Wattignies,Périurbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,68.7,68.675,µg-m3,,,,A,1
2025/05/04 13:00:00,2025/05/04 14:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11114,Wattignies,Périurbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,69.9,69.875,µg-m3,,,,A,1
2025/05/04 14:00:00,2025/05/04 15:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11114,Wattignies,Périurbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,69.9,69.85,µg-m3,,,,A,1
2025/05/04 15:00:00,2025/05/04 16:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11114,Wattignies,Périurbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,69.8,69.8,µg-m3,,,,A,1
2025/05/04 16:00:00,2025/05/04 17:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11114,Wattignies,Périurbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,69.8,69.825,µg-m3,,,,A,1
